trial_no,A_aug1_type,A_aug1_magnitude,A_aug2_type,A_aug2_magnitude,B_aug1_type,B_aug1_magnitude,B_aug2_type,B_aug2_magnitude,C_aug1_type,C_aug1_magnitude,C_aug2_type,C_aug2_magnitude,D_aug1_type,D_aug1_magnitude,D_aug2_type,D_aug2_magnitude,E_aug1_type,E_aug1_magnitude,E_aug2_type,E_aug2_magnitude,mean_late_val_acc,expected_accuracy_increase(%)
42,sharpen,0.731,sharpen,0.564,gamma-contrast,0.527,coarse-dropout,0.774,shear,0.243,RandomEracing,0.526,translate-x,0.242,add-to-hue-and-saturation,0.069,emboss,0.378,sharpen,0.264,0.5196666666666667,8.100000000000001
164,emboss,0.004,dropout,0.277,gamma-contrast,0.097,gamma-contrast,0.975,brighten,0.266,RandomEracing,0.327,emboss,0.032,coarse-dropout,0.173,vertical-flip,0.395,brighten,0.251,0.508,6.93333333333333
202,sharpen,0.551,emboss,0.474,brighten,0.733,sharpen,0.801,brighten,0.341,RandomEracing,0.77,horizontal-flip,0.033,translate-x,0.581,horizontal-flip,0.222,RandomEracing,0.427,0.5066666666666667,6.800000000000001
155,translate-y,0.203,clouds,0.444,gamma-contrast,0.713,gaussian-blur,0.912,gaussian-blur,0.045,RandomEracing,0.126,crop,0.301,horizontal-flip,0.217,brighten,0.262,RandomEracing,0.374,0.504,6.53333333333333
110,sharpen,0.24,coarse-dropout,0.327,gamma-contrast,0.497,vertical-flip,0.853,sharpen,0.673,RandomEracing,0.828,gamma-contrast,0.406,brighten,0.169,add-to-hue-and-saturation,0.321,RandomEracing,0.078,0.5033333333333333,6.46666666666666
29,rotate,0.963,dropout,0.727,gamma-contrast,0.495,coarse-dropout,0.874,horizontal-flip,0.167,RandomEracing,0.547,RandomEracing,0.858,coarse-dropout,0.336,emboss,0.473,horizontal-flip,0.458,0.5023333333333334,6.366666666666671
71,clouds,0.445,sharpen,0.831,add-to-hue-and-saturation,0.693,dropout,0.134,gamma-contrast,0.486,RandomEracing,0.863,emboss,0.316,brighten,0.06,emboss,0.641,shear,0.017,0.5020000000000001,6.333333333333341
77,vertical-flip,0.363,dropout,0.82,gamma-contrast,0.737,vertical-flip,0.394,RandomEracing,0.809,RandomEracing,0.614,translate-x,0.299,gaussian-blur,0.011,vertical-flip,0.357,RandomEracing,0.763,0.5003333333333333,6.166666666666659
79,horizontal-flip,0.483,coarse-dropout,0.71,gamma-contrast,0.983,emboss,0.742,brighten,0.956,RandomEracing,0.217,translate-x,0.572,emboss,0.028,rotate,0.19,translate-x,0.47,0.49933333333333335,6.066666666666665
38,clouds,0.002,clouds,0.18,gamma-contrast,0.673,coarse-salt-pepper,0.742,vertical-flip,0.549,RandomEracing,0.691,RandomEracing,0.309,rotate,0.18,emboss,0.451,rotate,0.099,0.498,5.933333333333329
26,add-to-hue-and-saturation,0.974,clouds,0.47,gamma-contrast,0.514,sharpen,0.957,crop,0.154,translate-y,0.517,fog,0.565,emboss,0.665,emboss,0.465,brighten,0.452,0.49533333333333335,5.666666666666664
214,emboss,0.805,coarse-dropout,0.312,invert,0.629,translate-y,0.062,coarse-dropout,0.278,RandomEracing,0.501,brighten,0.963,emboss,0.637,RandomEracing,0.251,RandomEracing,0.413,0.49466666666666664,5.599999999999994
35,brighten,0.348,coarse-salt-pepper,0.061,gamma-contrast,0.93,translate-x,0.658,coarse-dropout,0.788,RandomEracing,0.54,sharpen,0.73,sharpen,0.026,emboss,0.372,sharpen,0.235,0.494,5.533333333333329
213,horizontal-flip,0.817,sharpen,0.283,emboss,0.037,shear,0.804,coarse-dropout,0.275,RandomEracing,0.083,coarse-dropout,0.457,horizontal-flip,0.713,brighten,0.223,RandomEracing,0.467,0.4916666666666667,5.299999999999999
212,invert,0.605,shear,0.733,crop,0.637,brighten,0.04,sharpen,0.634,RandomEracing,0.168,horizontal-flip,0.299,gamma-contrast,0.499,vertical-flip,0.079,RandomEracing,0.429,0.49133333333333334,5.266666666666664
84,sharpen,0.611,clouds,0.765,gamma-contrast,0.014,add-to-hue-and-saturation,0.447,horizontal-flip,0.584,RandomEracing,0.917,crop,0.893,translate-y,0.004,RandomEracing,0.297,RandomEracing,0.454,0.48900000000000005,5.033333333333334
116,sharpen,0.992,invert,0.174,gamma-contrast,0.683,vertical-flip,0.317,horizontal-flip,0.166,RandomEracing,0.641,crop,0.776,shear,0.174,sharpen,0.958,add-to-hue-and-saturation,0.053,0.4876666666666667,4.899999999999999
53,vertical-flip,0.55,additive-gaussian-noise,0.402,horizontal-flip,0.619,dropout,0.09,shear,0.125,RandomEracing,0.181,clouds,0.893,gaussian-blur,0.026,emboss,0.654,translate-y,0.227,0.48733333333333334,4.866666666666664
51,crop,0.687,sharpen,0.283,gamma-contrast,0.61,horizontal-flip,0.999,emboss,0.411,RandomEracing,0.285,dropout,0.9,translate-x,0.203,emboss,0.483,clouds,0.407,0.48733333333333334,4.866666666666664
140,sharpen,0.121,RandomEracing,0.059,gamma-contrast,0.465,shear,0.133,gamma-contrast,0.872,RandomEracing,0.76,gamma-contrast,0.337,coarse-dropout,0.644,translate-y,0.293,rotate,0.05,0.48699999999999993,4.833333333333323
